frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.83330113,1396.787,30482.470703
1,0.033333,3.44654274,44.433,0.0
2,0.05,8.4347353,37.355,0.0
3,0.066667,15.2206459,43.543,0.0
4,0.083333,22.46050262,47.81,0.0
5,0.1,29.91819,84.552,0.0
6,0.116667,35.2029686,47.332,0.0
7,0.133333,36.23403931,50.565,0.0
8,0.15,36.62768555,51.237,0.0
9,0.166667,36.74943542,49.707,0.0
10,0.183333,36.79103851,50.709,0.0
11,0.2,36.78498459,49.613,0.0
12,0.216667,36.79454803,47.412,0.0
13,0.233333,36.78665543,46.523,0.0
14,0.25,36.77007675,45.822,0.0
15,0.266667,36.80831909,38.68,0.0
16,0.283333,37.0173378,35.517,0.0
17,0.3,37.02236557,35.513,0.0
18,0.316667,37.07164001,24.47,0.0
19,0.333333,37.08362961,31.864,0.0
20,0.35,36.93022156,28.336,0.0
21,0.366667,36.447052,33.133,0.0
22,0.383333,36.17636871,32.97,0.0
23,0.4,36.12828445,32.473,0.0
24,0.416667,35.85951614,39.199,0.0
25,0.433333,35.83866882,28.57,0.0
26,0.45,35.65122986,28.234,0.0
27,0.466667,35.15445709,31.154,0.0
28,0.483333,34.88084412,27.736,0.0
29,0.5,34.1960144,25.7,0.0
30,0.516667,33.78607941,29.554,787287.4375
31,0.533333,33.14487076,25.93,0.0
32,0.55,32.70954514,25.512,0.0
33,0.566667,32.09598923,27.842,0.0
34,0.583333,31.56654358,26.522,0.0
35,0.6,30.63663673,26.638,0.0
36,0.616667,29.83520508,24.717,0.0
37,0.633333,29.12652016,26.234,0.0
38,0.65,28.50930786,26.253,0.0
39,0.666667,27.19693756,26.525,0.0
40,0.683333,25.34160614,31.161,0.0
41,0.7,23.40892792,40.611,0.0
42,0.716667,21.56237602,40.707,0.0
43,0.733333,20.01305199,34.57,0.0
44,0.75,18.34909248,33.591,0.0
45,0.766667,16.92977333,34.693,0.0
46,0.783333,15.59791183,32.105,0.0
47,0.8,14.25045586,35.823,0.0
48,0.816667,12.89294624,41.327,0.0
49,0.833333,11.52669334,42.643,0.0
50,0.85,10.10296345,40.245,0.0
51,0.866667,8.96238232,36.655,0.0
52,0.883333,7.47556591,42.104,0.0
53,0.9,6.28317308,42.61,0.0
54,0.916667,5.21787119,42.499,0.0
55,0.933333,4.30483007,41.717,0.0
56,0.95,3.59959388,34.338,0.0
57,0.966667,3.0201993,39.582,0.0
58,0.983333,2.73226452,32.093,0.0
59,1.0,2.47041345,42.556,0.0
60,1.016667,2.49769044,41.616,409129.34375
61,1.033333,2.63403773,40.616,0.0
62,1.05,2.94562721,42.926,0.0
63,1.066667,3.37707138,43.2,0.0
64,1.083333,3.88753319,42.241,0.0
65,1.1,4.40750933,44.327,0.0
66,1.116667,4.90795946,44.558,0.0
67,1.133333,5.3413434,45.872,0.0
68,1.15,5.69255495,45.524,0.0
69,1.166667,5.95437431,45.202,0.0
70,1.183333,6.08975983,45.652,0.0
71,1.2,6.12912464,45.503,0.0
72,1.216667,6.37703848,31.891,0.0
73,1.233333,6.00508451,44.339,0.0
74,1.25,5.90189648,44.793,0.0
75,1.266667,5.81863165,43.602,0.0
76,1.283333,5.75959539,41.199,0.0
77,1.3,5.75193548,38.598,0.0
78,1.316667,5.79164124,40.488,0.0
79,1.333333,5.88447332,42.318,0.0
80,1.35,6.0225935,42.624,0.0
81,1.366667,6.19544554,42.465,0.0
82,1.383333,6.40291882,42.018,0.0
83,1.4,6.62008905,41.362,0.0
84,1.416667,6.83554983,41.317,0.0
85,1.433333,7.05185223,41.277,0.0
86,1.45,7.25853634,40.196,0.0
87,1.466667,7.44048357,39.806,0.0
88,1.483333,7.58203793,38.894,0.0
89,1.5,7.6803503,38.082,0.0
90,1.516667,7.68264389,38.09,380414.5625
91,1.533333,7.52212667,37.149,0.0
92,1.55,7.05500174,37.124,0.0
93,1.566667,6.13211489,39.67,0.0
94,1.583333,5.09541082,36.28,0.0
95,1.6,4.19663668,39.171,0.0
96,1.616667,3.49188709,38.724,0.0
97,1.633333,2.91363573,37.78,0.0
98,1.65,2.41073203,33.815,0.0
99,1.666667,1.96406507,37.742,0.0
100,1.683333,1.58477283,38.683,0.0
101,1.7,1.27952564,37.209,0.0
102,1.716667,1.04364157,37.573,0.0
103,1.733333,0.87214208,50.044,0.0
104,1.75,0.76986718,35.654,0.0
105,1.766667,0.72796452,36.688,0.0
106,1.783333,0.73780352,36.556,0.0
107,1.8,0.78904426,37.184,0.0
108,1.816667,0.87466717,37.019,0.0
109,1.833333,0.97098213,37.193,0.0
110,1.85,1.06752062,37.017,0.0
111,1.866667,1.1554203,37.468,0.0
112,1.883333,1.23421061,38.701,0.0
113,1.9,1.28960657,37.932,0.0
114,1.916667,1.32843816,37.119,0.0
115,1.933333,1.35087955,37.002,0.0
