frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.0432,69.362,260.746979
1,0.033333,0.08640001,6.131,0.0
2,0.05,0.1296,5.758,0.0
3,0.066667,0.17280002,6.085,0.0
4,0.083333,0.21600004,6.538,0.0
5,0.1,0.25920004,6.392,0.0
6,0.116667,0.30240002,6.307,0.0
7,0.133333,0.34560004,6.262,0.0
8,0.15,0.38880005,6.502,0.0
9,0.166667,0.43200007,6.974,0.0
10,0.183333,0.47520009,20.772,0.0
11,0.2,0.51840007,5.862,0.0
12,0.216667,0.56160009,6.423,0.0
13,0.233333,0.60480011,6.165,0.0
14,0.25,0.64800006,6.934,0.0
15,0.266667,0.69120008,6.954,0.0
16,0.283333,0.73440009,6.823,0.0
17,0.3,0.77760011,7.153,0.0
18,0.316667,0.82080013,6.543,0.0
19,0.333333,0.86400014,7.446,0.0
20,0.35,0.90720004,6.519,0.0
21,0.366667,0.95040005,6.384,0.0
22,0.383333,0.99360007,7.071,0.0
23,0.4,1.03680015,6.914,0.0
24,0.416667,1.08000004,6.563,0.0
25,0.433333,1.12320006,6.493,0.0
26,0.45,1.16640007,6.632,0.0
27,0.466667,1.20960009,7.063,0.0
28,0.483333,1.25279999,6.642,0.0
29,0.5,1.29600012,6.425,0.0
30,0.516667,1.33021593,7.445,20545.986328
31,0.533333,1.35132492,13.394,0.0
32,0.55,1.38068199,14.274,0.0
33,0.566667,1.40903175,14.771,0.0
34,0.583333,1.43889666,14.683,0.0
35,0.6,1.46892738,14.821,0.0
36,0.616667,1.49912202,14.502,0.0
37,0.633333,1.52755141,14.013,0.0
38,0.65,1.55819893,13.487,0.0
39,0.666667,1.59195507,13.495,0.0
40,0.683333,1.62554967,13.786,0.0
41,0.7,1.66204906,13.95,0.0
42,0.716667,1.70148921,13.833,0.0
43,0.733333,1.74241936,13.86,0.0
44,0.75,1.78336489,14.363,0.0
45,0.766667,1.82365942,14.196,0.0
46,0.783333,1.86437857,14.095,0.0
47,0.8,1.90698278,13.883,0.0
48,0.816667,1.94833577,13.507,0.0
49,0.833333,1.98977733,13.813,0.0
50,0.85,2.03198051,14.247,0.0
51,0.866667,2.0744431,14.022,0.0
52,0.883333,2.11631799,13.608,0.0
53,0.9,2.16045189,14.401,0.0
54,0.916667,2.20239568,13.833,0.0
55,0.933333,2.24593139,14.175,0.0
56,0.95,2.28926992,14.11,0.0
57,0.966667,2.32090545,13.522,0.0
58,0.983333,2.31040978,12.354,0.0
59,1.0,2.3092463,12.875,0.0
60,1.016667,2.31218314,13.237,215059.21875
61,1.033333,2.31838775,13.393,0.0
62,1.05,2.32224393,13.096,0.0
63,1.066667,2.32573771,12.849,0.0
64,1.083333,2.33056331,13.353,0.0
65,1.1,2.33516002,12.953,0.0
66,1.116667,2.3388412,13.209,0.0
67,1.133333,2.34035873,13.154,0.0
68,1.15,2.3437717,13.202,0.0
69,1.166667,2.34738946,13.232,0.0
70,1.183333,2.34964061,13.516,0.0
71,1.2,2.35065627,13.06,0.0
72,1.216667,2.35262108,13.203,0.0
73,1.233333,2.35486865,13.166,0.0
74,1.25,2.35655332,13.209,0.0
75,1.266667,2.35617852,13.25,0.0
76,1.283333,2.35637069,13.206,0.0
77,1.3,2.35767698,13.167,0.0
78,1.316667,2.35737181,13.427,0.0
79,1.333333,2.3573339,13.209,0.0
80,1.35,2.35895681,13.322,0.0
81,1.366667,2.35802913,13.454,0.0
82,1.383333,2.35689878,13.5,0.0
83,1.4,2.3583982,13.564,0.0
84,1.416667,2.3580451,13.504,0.0
85,1.433333,2.35761142,13.389,0.0
86,1.45,2.35837865,13.523,0.0
87,1.466667,2.35889602,13.504,0.0
88,1.483333,2.35966396,13.584,0.0
89,1.5,2.35950565,13.573,0.0
90,1.516667,2.35848117,13.734,228605.921875
91,1.533333,2.3595283,13.712,0.0
92,1.55,2.35859275,13.44,0.0
93,1.566667,2.35800433,13.99,0.0
94,1.583333,2.35752082,13.753,0.0
95,1.6,2.35760307,13.906,0.0
96,1.616667,2.35910273,13.765,0.0
97,1.633333,2.35975838,14.029,0.0
98,1.65,2.3589251,13.825,0.0
99,1.666667,2.35948825,13.722,0.0
100,1.683333,2.3583343,13.9,0.0
101,1.7,2.35830617,13.565,0.0
102,1.716667,2.36019087,13.287,0.0
103,1.733333,2.36022496,13.285,0.0
104,1.75,2.36150527,14.082,0.0
105,1.766667,2.36217737,13.859,0.0
106,1.783333,2.36300254,14.061,0.0
107,1.8,2.36212301,13.631,0.0
108,1.816667,2.36213255,13.871,0.0
109,1.833333,2.3612361,14.149,0.0
110,1.85,2.36122513,13.783,0.0
111,1.866667,2.36138964,13.855,0.0
112,1.883333,2.36120892,13.709,0.0
113,1.9,2.36172271,13.791,0.0
114,1.916667,2.36187625,13.698,0.0
115,1.933333,2.36190248,13.758,0.0
