frame,time,flip_kinetic_energy,apic_kinetic_energy,polypic_kinetic_energy
0,0.016667,0.04320000,0.04320000,0.04320000
1,0.033333,0.08639422,0.08640001,0.08640001
2,0.050000,0.12959708,0.12960000,0.12960000
3,0.066667,0.17277031,0.17280002,0.17280002
4,0.083333,0.21598047,0.21600004,0.21600004
5,0.100000,0.25919449,0.25920004,0.25920004
6,0.116667,0.30238712,0.30240002,0.30240002
7,0.133333,0.34559822,0.34560004,0.34560004
8,0.150000,0.38878161,0.38880005,0.38880005
9,0.166667,0.43199757,0.43200007,0.43200007
10,0.183333,0.47519639,0.47520009,0.47520009
11,0.200000,0.51839095,0.51840007,0.51840007
12,0.216667,0.56159467,0.56160009,0.56160009
13,0.233333,0.60479313,0.60480011,0.60480011
14,0.250000,0.64799333,0.64800006,0.64800006
15,0.266667,0.69119275,0.69120008,0.69120008
16,0.283333,0.73438817,0.73440009,0.73440009
17,0.300000,0.77757591,0.77760011,0.77760011
18,0.316667,0.82077879,0.82080013,0.82080013
19,0.333333,0.86399448,0.86400014,0.86400014
20,0.350000,0.90718341,0.90720004,0.90720004
21,0.366667,0.95036703,0.95040005,0.95040005
22,0.383333,0.99357206,0.99360007,0.99360007
23,0.400000,1.03678584,1.03680015,1.03680015
24,0.416667,1.07997274,1.08000004,1.08000004
25,0.433333,1.12319303,1.12320006,1.12320006
26,0.450000,1.16639614,1.16640007,1.16640007
27,0.466667,1.20959520,1.20960009,1.20960009
28,0.483333,1.25279891,1.25279999,1.25279999
29,0.500000,1.29597569,1.29600012,1.29600012
30,0.516667,1.33011258,1.33021593,1.32989633
31,0.533333,1.35280848,1.35132492,1.35088563
32,0.550000,1.38314784,1.38068199,1.37926579
33,0.566667,1.41453004,1.40903175,1.40511525
34,0.583333,1.44911945,1.43889666,1.43227518
35,0.600000,1.48353732,1.46892738,1.46072924
36,0.616667,1.51597524,1.49912202,1.48733282
37,0.633333,1.54778695,1.52755141,1.51412725
38,0.650000,1.57953644,1.55819893,1.54294336
39,0.666667,1.61199760,1.59195507,1.57763481
40,0.683333,1.64659250,1.62554967,1.61294484
41,0.700000,1.68071151,1.66204906,1.65101564
42,0.716667,1.71602309,1.70148921,1.69005787
43,0.733333,1.75098956,1.74241936,1.72958541
44,0.750000,1.78830767,1.78336489,1.76942861
45,0.766667,1.82364142,1.82365942,1.81006360
46,0.783333,1.85882664,1.86437857,1.84814870
47,0.800000,1.89556766,1.90698278,1.88897061
48,0.816667,1.93293047,1.94833577,1.93015969
49,0.833333,1.96983588,1.98977733,1.97151256
50,0.850000,2.00559831,2.03198051,2.01256704
51,0.866667,2.04115844,2.07444310,2.05351257
52,0.883333,2.07758188,2.11631799,2.09466338
53,0.900000,2.11391521,2.16045189,2.13677073
54,0.916667,2.14842868,2.20239568,2.17841220
55,0.933333,2.18554258,2.24593139,2.22039127
56,0.950000,2.22172642,2.28926992,2.26248860
57,0.966667,2.25530958,2.32090545,2.29079866
58,0.983333,2.26659751,2.31040978,2.30065703
59,1.000000,2.27519131,2.30924630,2.30941439
60,1.016667,2.28692961,2.31218314,2.31793118
61,1.033333,2.29227138,2.31838775,2.32674718
62,1.050000,2.29585934,2.32224393,2.33490467
63,1.066667,2.30050635,2.32573771,2.34226131
64,1.083333,2.30679679,2.33056331,2.34875393
65,1.100000,2.31918287,2.33516002,2.35573244
66,1.116667,2.31782079,2.33884120,2.36297274
67,1.133333,2.31896305,2.34035873,2.36950755
68,1.150000,2.32249784,2.34377170,2.37409091
69,1.166667,2.32737875,2.34738946,2.37986445
70,1.183333,2.33003926,2.34964061,2.38622046
71,1.200000,2.33947396,2.35065627,2.39279175
72,1.216667,2.37204194,2.35262108,2.39806914
73,1.233333,2.37052059,2.35486865,2.40394735
74,1.250000,2.38843369,2.35655332,2.40898061
75,1.266667,2.38756514,2.35617852,2.41348076
76,1.283333,2.40179801,2.35637069,2.41669369
77,1.300000,2.41861224,2.35767698,2.42226148
78,1.316667,2.41449189,2.35737181,2.42916942
79,1.333333,2.42011547,2.35733390,2.43300462
80,1.350000,2.42753172,2.35895681,2.43846560
81,1.366667,2.43716192,2.35802913,2.44295645
82,1.383333,2.45007181,2.35689878,2.44694638
83,1.400000,2.46086645,2.35839820,2.45159030
84,1.416667,2.47914457,2.35804510,2.45585155
85,1.433333,2.50131655,2.35761142,2.45897269
86,1.450000,2.49653506,2.35837865,2.46390319
87,1.466667,2.52428293,2.35889602,2.46687484
88,1.483333,2.51726794,2.35966396,2.47012591
89,1.500000,2.51530433,2.35950565,2.47310305
90,1.516667,2.53572965,2.35848117,2.47600603
91,1.533333,2.54268456,2.35952830,2.47932267
92,1.550000,2.57007337,2.35859275,2.48161626
93,1.566667,2.63465500,2.35800433,2.48469353
94,1.583333,2.63201261,2.35752082,2.48705220
95,1.600000,2.65398479,2.35760307,2.48796487
96,1.616667,2.61831784,2.35910273,2.49020863
97,1.633333,2.63481450,2.35975838,2.49364901
98,1.650000,2.62544966,2.35892510,2.49496841
99,1.666667,2.68692851,2.35948825,2.49847388
100,1.683333,2.69045830,2.35833430,2.49950314
101,1.700000,2.67295456,2.35830617,2.50002146
102,1.716667,2.72862720,2.36019087,2.50074244
103,1.733333,2.72267365,2.36022496,2.50162148
104,1.750000,2.72738600,2.36150527,2.50374007
105,1.766667,2.75985885,2.36217737,2.50575304
106,1.783333,2.74801159,2.36300254,2.50655866
107,1.800000,2.79153347,2.36212301,2.50615120
108,1.816667,2.77165341,2.36213255,2.50912023
109,1.833333,2.76249123,2.36123610,2.51016831
110,1.850000,2.78341889,2.36122513,2.50983262
111,1.866667,2.79951549,2.36138964,2.51128793
112,1.883333,2.83389235,2.36120892,2.51270199
113,1.900000,2.82883048,2.36172271,2.51352406
114,1.916667,2.83817101,2.36187625,2.51461339
115,1.933333,2.84986567,2.36190248,2.51410604
116,1.950000,2.90222764,2.36166549,2.51315928
117,1.966667,2.95412087,2.36290026,2.51287723
118,1.983333,2.99945974,2.36199808,2.51178408
119,2.000000,2.98239803,2.35982251,2.51370740
120,2.016667,3.03399682,2.35826921,2.51406527
121,2.033333,3.09290838,2.35895228,2.51555228
122,2.050000,3.08487511,2.35943246,2.51657248
