frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.0432,305.714,260.746399
1,0.033333,0.08640001,163.016,0.0
2,0.05,0.12959862,331.678,0.0
3,0.066667,0.17278337,433.253,0.0
4,0.083333,0.21599331,433.054,0.0
5,0.1,0.25919533,557.3,0.0
6,0.116667,0.30240002,528.765,0.0
7,0.133333,0.34559566,628.75,0.0
8,0.15,0.38879749,695.047,0.0
9,0.166667,0.43198434,656.776,0.0
10,0.183333,0.4751884,807.766,0.0
11,0.2,0.5183965,741.393,0.0
12,0.216667,0.5615989,870.407,0.0
13,0.233333,0.60478181,778.181,0.0
14,0.25,0.64799815,794.917,0.0
15,0.266667,0.69119734,989.893,0.0
16,0.283333,0.73439932,888.906,0.0
17,0.3,0.77759749,984.453,0.0
18,0.316667,0.82077831,927.543,0.0
19,0.333333,0.86397964,967.604,0.0
20,0.35,0.90719903,924.497,0.0
21,0.366667,0.9503907,969.498,0.0
22,0.383333,0.99358469,947.8,0.0
23,0.4,1.03679514,971.516,0.0
24,0.416667,1.07999301,912.968,0.0
25,0.433333,1.12319791,873.047,0.0
26,0.45,1.16639817,941.519,0.0
27,0.466667,1.20959818,904.969,0.0
28,0.483333,1.25279224,953.154,0.0
29,0.5,1.29599214,834.433,0.0
30,0.516667,1.32960296,849.114,55151.578125
31,0.533333,1.35079658,1261.744,0.0
32,0.55,1.38190532,1404.498,0.0
33,0.566667,1.41356206,1526.197,0.0
34,0.583333,1.4460845,1458.356,0.0
35,0.6,1.48379207,1675.407,0.0
36,0.616667,1.5220263,1715.882,0.0
37,0.633333,1.55938542,1690.951,0.0
38,0.65,1.5973556,1803.049,0.0
39,0.666667,1.63571239,1647.307,0.0
40,0.683333,1.67603195,1778.214,0.0
41,0.7,1.71716201,1852.317,0.0
42,0.716667,1.75900924,1855.204,0.0
43,0.733333,1.80086207,2072.89,0.0
44,0.75,1.84180772,1920.117,0.0
45,0.766667,1.88192952,1939.91,0.0
46,0.783333,1.92427421,2078.417,0.0
47,0.8,1.96612513,2116.735,0.0
48,0.816667,2.00848413,2026.404,0.0
49,0.833333,2.05069232,2088.043,0.0
50,0.85,2.09467149,2348.362,0.0
51,0.866667,2.13846087,2115.748,0.0
52,0.883333,2.1810205,2123.978,0.0
53,0.9,2.22288775,2259.888,0.0
54,0.916667,2.26639104,2307.673,0.0
55,0.933333,2.30980301,2333.232,0.0
56,0.95,2.35264945,2396.524,0.0
57,0.966667,2.39324784,2349.507,0.0
58,0.983333,2.41340089,2107.051,0.0
59,1.0,2.41712618,2142.043,0.0
60,1.016667,2.4245019,2281.944,258973.015625
61,1.033333,2.42742133,2273.694,0.0
62,1.05,2.43228269,2461.83,0.0
63,1.066667,2.43639874,2261.185,0.0
64,1.083333,2.44123554,2237.291,0.0
65,1.1,2.44423318,2402.406,0.0
66,1.116667,2.44611478,2396.071,0.0
67,1.133333,2.44791555,2492.704,0.0
68,1.15,2.44794345,2330.175,0.0
69,1.166667,2.44895744,2527.387,0.0
70,1.183333,2.44989133,2713.465,0.0
71,1.2,2.45101094,2609.833,0.0
72,1.216667,2.45165968,2384.545,0.0
73,1.233333,2.45418358,2585.983,0.0
74,1.25,2.45515203,2629.591,0.0
75,1.266667,2.45571327,2665.84,0.0
76,1.283333,2.45519495,2634.896,0.0
77,1.3,2.45710754,2418.878,0.0
78,1.316667,2.45592928,2562.511,0.0
79,1.333333,2.45793581,2416.887,0.0
80,1.35,2.45896888,2463.309,0.0
81,1.366667,2.45944929,2508.852,0.0
82,1.383333,2.46065164,2472.341,0.0
83,1.4,2.46255732,2754.316,0.0
84,1.416667,2.46433163,2795.717,0.0
85,1.433333,2.46549797,2887.596,0.0
86,1.45,2.46519852,2908.774,0.0
87,1.466667,2.46496701,2749.232,0.0
88,1.483333,2.46640444,2794.425,0.0
89,1.5,2.46614337,2920.662,0.0
90,1.516667,2.46514916,2947.801,267114.9375
91,1.533333,2.4657836,2740.11,0.0
92,1.55,2.46617651,2937.288,0.0
93,1.566667,2.46505308,3064.967,0.0
94,1.583333,2.46405292,3041.414,0.0
95,1.6,2.46201944,2857.716,0.0
96,1.616667,2.4630456,3018.246,0.0
97,1.633333,2.4634366,3030.362,0.0
98,1.65,2.46253324,3108.528,0.0
99,1.666667,2.46329403,3080.691,0.0
100,1.683333,2.46458101,3219.08,0.0
101,1.7,2.46326494,2864.045,0.0
102,1.716667,2.46466684,3087.044,0.0
103,1.733333,2.465101,3034.064,0.0
104,1.75,2.46602273,3323.99,0.0
105,1.766667,2.46400809,3301.913,0.0
106,1.783333,2.46372676,3404.232,0.0
107,1.8,2.4646318,3328.938,0.0
108,1.816667,2.46608067,3264.454,0.0
109,1.833333,2.46526241,3283.09,0.0
110,1.85,2.46409893,3322.119,0.0
111,1.866667,2.46360159,3300.604,0.0
112,1.883333,2.46236682,3528.109,0.0
113,1.9,2.46147847,3288.86,0.0
114,1.916667,2.46351218,3387.407,0.0
115,1.933333,2.46348977,3359.139,0.0
116,1.95,2.46614933,3597.029,0.0
117,1.966667,2.46516609,3555.987,0.0
118,1.983333,2.46412587,3494.455,0.0
119,2.0,2.46253061,3355.272,0.0
120,2.016667,2.46445441,3450.148,292657.90625
