frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.81934595,13866.397,22449.980469
1,0.033333,3.28655267,2021.154,0.0
2,0.05,7.39947414,3113.848,0.0
3,0.066667,13.23029137,1674.211,0.0
4,0.083333,20.75743484,1317.552,0.0
5,0.1,28.96387291,2087.541,0.0
6,0.116667,34.17071152,1509.193,0.0
7,0.133333,34.28975677,3173.389,0.0
8,0.15,35.12729645,2208.436,0.0
9,0.166667,34.66760254,2313.333,0.0
10,0.183333,34.03450394,8457.087,0.0
11,0.2,34.735466,4652.508,0.0
12,0.216667,34.63975906,3683.477,0.0
13,0.233333,33.37415695,4349.313,0.0
14,0.25,33.82432556,5531.009,0.0
15,0.266667,33.27789688,4607.288,0.0
16,0.283333,33.42121506,7909.273,0.0
17,0.3,34.25362396,7524.138,0.0
18,0.316667,33.48352051,9239.149,0.0
19,0.333333,34.06344986,3915.407,0.0
20,0.35,33.07179642,15088.833,0.0
21,0.366667,33.33524323,18202.627,0.0
22,0.383333,33.50535583,5600.324,0.0
23,0.4,32.01226044,13996.801,0.0
24,0.416667,32.015522,20402.255,0.0
25,0.433333,32.8220787,2083.609,0.0
26,0.45,31.25944901,14574.882,0.0
27,0.466667,31.24778175,10303.151,0.0
28,0.483333,30.9467926,6512.29,0.0
29,0.5,31.18847084,8404.24,0.0
30,0.516667,30.19720268,10550.067,1143947.5
31,0.533333,30.29310036,6084.558,0.0
32,0.55,29.404953,13062.021,0.0
33,0.566667,28.91653252,12958.09,0.0
34,0.583333,28.9358139,5842.322,0.0
35,0.6,27.8663559,14143.165,0.0
36,0.616667,27.83936501,4838.09,0.0
37,0.633333,26.65600586,7504.432,0.0
38,0.65,26.20816994,7811.851,0.0
39,0.666667,25.77301407,6263.658,0.0
40,0.683333,25.20258141,11723.001,0.0
41,0.7,24.45993996,9231.176,0.0
42,0.716667,23.66123962,9730.384,0.0
43,0.733333,22.83070374,8207.526,0.0
44,0.75,21.58619881,9849.842,0.0
45,0.766667,20.60811996,5223.075,0.0
46,0.783333,19.57235146,5812.626,0.0
47,0.8,18.60782814,6733.435,0.0
48,0.816667,17.72870255,5565.082,0.0
49,0.833333,16.69542122,8240.899,0.0
50,0.85,15.65335655,9472.071,0.0
51,0.866667,14.62747383,10334.964,0.0
52,0.883333,13.76046658,4624.645,0.0
53,0.9,12.49543381,10203.24,0.0
54,0.916667,11.58716297,7217.192,0.0
55,0.933333,10.43755913,12853.975,0.0
56,0.95,9.49489689,12332.167,0.0
57,0.966667,8.64551067,10093.828,0.0
58,0.983333,7.83772516,11369.787,0.0
59,1.0,7.09800434,6994.726,0.0
60,1.016667,6.49361134,8874.871,1116819.125
61,1.033333,6.09933329,2447.609,0.0
62,1.05,5.61543036,7534.437,0.0
63,1.066667,5.412673,9845.859,0.0
64,1.083333,5.28628969,8480.061,0.0
65,1.1,5.31123018,7108.407,0.0
66,1.116667,5.17556572,8990.839,0.0
67,1.133333,5.17881632,15286.566,0.0
68,1.15,5.23781919,12318.705,0.0
69,1.166667,5.31735802,15387.241,0.0
70,1.183333,5.38256073,15427.868,0.0
71,1.2,5.46008539,11313.127,0.0
72,1.216667,5.51917791,16874.439,0.0
73,1.233333,5.5669198,12762.599,0.0
74,1.25,5.5794878,13981.953,0.0
75,1.266667,5.56396341,11709.208,0.0
76,1.283333,5.50078678,13371.522,0.0
77,1.3,5.46214628,7659.614,0.0
78,1.316667,5.31857443,10977.962,0.0
79,1.333333,5.22063637,12868.154,0.0
80,1.35,5.10323668,12346.696,0.0
81,1.366667,5.01246071,12538.161,0.0
82,1.383333,4.93058109,13530.222,0.0
83,1.4,4.85286093,15017.655,0.0
84,1.416667,4.81266022,13422.171,0.0
85,1.433333,4.76929092,13402.581,0.0
86,1.45,4.75149775,16583.295,0.0
87,1.466667,4.73757315,14935.908,0.0
88,1.483333,4.70625973,13511.982,0.0
89,1.5,4.70204687,16268.318,0.0
90,1.516667,4.68843079,16817.849,721953.25
91,1.533333,4.66959906,14366.093,0.0
92,1.55,4.62906551,10283.152,0.0
93,1.566667,4.64175749,12987.281,0.0
94,1.583333,4.6198864,13622.182,0.0
95,1.6,4.58728361,14294.87,0.0
96,1.616667,4.52226353,12526.394,0.0
97,1.633333,4.41464472,12195.112,0.0
98,1.65,4.21073723,11403.356,0.0
99,1.666667,3.91521239,13257.854,0.0
100,1.683333,3.57798982,11114.757,0.0
101,1.7,3.21880698,15100.269,0.0
102,1.716667,2.91009188,10271.915,0.0
103,1.733333,2.59022498,14161.993,0.0
104,1.75,2.29707837,13447.116,0.0
105,1.766667,2.02782106,15311.35,0.0
106,1.783333,1.77102077,20010.144,0.0
107,1.8,1.55051482,19143.017,0.0
108,1.816667,1.36996102,19459.176,0.0
109,1.833333,1.2240448,17572.171,0.0
110,1.85,1.12175691,19021.08,0.0
111,1.866667,1.06263602,22638.59,0.0
112,1.883333,1.05855203,19250.64,0.0
113,1.9,1.09284043,17157.117,0.0
114,1.916667,1.14563179,16617.774,0.0
115,1.933333,1.22420657,19232.882,0.0
116,1.95,1.24713552,22398.622,0.0
117,1.966667,1.3060751,21665.852,0.0
118,1.983333,1.35440707,19890.57,0.0
119,2.0,1.60759926,5566.644,0.0
120,2.016667,1.42662323,15521.107,413748.40625
121,2.033333,1.44318807,16989.799,0.0
122,2.05,1.45460141,13761.239,0.0
123,2.066667,1.48192179,10860.382,0.0
124,2.083333,1.45817709,15088.345,0.0
125,2.1,1.43487227,10771.436,0.0
126,2.116667,1.41497302,11148.755,0.0
127,2.133333,1.3702563,14886.121,0.0
128,2.15,1.32857883,13079.73,0.0
129,2.166667,1.28631628,14918.34,0.0
130,2.183333,1.23573458,14764.447,0.0
131,2.2,1.18137336,9065.315,0.0
132,2.216667,1.12901342,14202.404,0.0
133,2.233333,1.08537531,8232.026,0.0
134,2.25,1.03230667,12179.026,0.0
135,2.266667,0.99558622,17367.302,0.0
136,2.283333,0.99553442,10358.429,0.0
137,2.3,0.97602832,11487.995,0.0
138,2.316667,0.97654897,14727.921,0.0
139,2.333333,0.99662948,17730.017,0.0
140,2.35,1.03539324,13584.48,0.0
141,2.366667,1.07896173,13662.684,0.0
142,2.383333,1.13044286,13783.604,0.0
143,2.4,1.18423378,14032.306,0.0
144,2.416667,1.24285221,13122.71,0.0
145,2.433333,1.29480636,12916.445,0.0
146,2.45,1.33551753,8990.268,0.0
147,2.466667,1.36657155,10119.217,0.0
148,2.483333,1.46651685,11848.229,0.0
149,2.5,1.46470726,15322.869,0.0
150,2.516667,1.43423641,10583.918,244942.484375
151,2.533333,1.37850249,17939.853,0.0
152,2.55,1.30502415,18895.404,0.0
153,2.566667,1.21879101,20443.151,0.0
154,2.583333,1.12237811,18484.862,0.0
155,2.6,1.00915134,20387.061,0.0
156,2.616667,0.8769663,21077.509,0.0
157,2.633333,0.74226284,17914.826,0.0
158,2.65,0.61184043,20534.768,0.0
159,2.666667,0.50380558,20202.698,0.0
160,2.683333,0.42112997,19904.362,0.0
161,2.7,0.37064376,19816.436,0.0
162,2.716667,0.34675229,20074.5,0.0
163,2.733333,0.35042968,19684.084,0.0
164,2.75,0.37878749,20875.892,0.0
165,2.766667,0.42531893,20787.956,0.0
166,2.783333,0.48661318,19633.495,0.0
167,2.8,0.55420232,9225.014,0.0
168,2.816667,0.62048405,13978.447,0.0
169,2.833333,0.68072921,14976.815,0.0
170,2.85,0.72753936,13688.615,0.0
171,2.866667,0.7619009,14552.68,0.0
172,2.883333,0.77548832,9708.406,0.0
173,2.9,0.76845711,14315.155,0.0
174,2.916667,0.75488555,9617.649,0.0
175,2.933333,0.74183518,10187.138,0.0
176,2.95,0.7402125,7644.83,0.0
177,2.966667,0.70310539,13856.028,0.0
178,2.983333,0.69437736,9396.618,0.0
179,3.0,0.6938718,9283.654,0.0
180,3.016667,0.67086339,13456.071,166214.625
181,3.033333,0.66166651,13900.604,0.0
182,3.05,0.65785414,11230.737,0.0
183,3.066667,0.66172481,6724.812,0.0
184,3.083333,0.65058923,4225.899,0.0
185,3.1,0.63469791,13879.146,0.0
186,3.116667,0.62815189,10128.349,0.0
187,3.133333,0.61215347,6170.36,0.0
188,3.15,0.59514594,10894.564,0.0
189,3.166667,0.57533556,8906.732,0.0
190,3.183333,0.57066369,4496.737,0.0
191,3.2,0.53772646,13143.604,0.0
192,3.216667,0.5230242,11997.513,0.0
193,3.233333,0.50739539,10106.447,0.0
194,3.25,0.49691427,9672.672,0.0
195,3.266667,0.48600975,8107.309,0.0
196,3.283333,0.48138785,11052.197,0.0
197,3.3,0.58521318,8206.989,0.0
198,3.316667,0.47802445,17817.358,0.0
199,3.333333,0.48103747,15632.866,0.0
200,3.35,0.48855555,14732.667,0.0
201,3.366667,0.49598154,19035.734,0.0
202,3.383333,0.50360906,19294.561,0.0
203,3.4,0.51291186,18786.635,0.0
204,3.416667,0.51845002,18458.285,0.0
205,3.433333,0.52251291,18713.663,0.0
206,3.45,0.52426696,18735.701,0.0
207,3.466667,0.51940382,18719.167,0.0
208,3.483333,0.51074469,19116.893,0.0
209,3.5,0.49143055,19136.493,0.0
210,3.516667,0.46237361,19503.571,137157.375
211,3.533333,0.42736095,19527.589,0.0
212,3.55,0.38604245,19392.249,0.0
213,3.566667,0.34372824,19931.225,0.0
214,3.583333,0.30274484,12022.107,0.0
215,3.6,0.26388508,20618.55,0.0
216,3.616667,0.23588318,20564.975,0.0
217,3.633333,0.21489333,20058.388,0.0
218,3.65,0.20491886,19273.38,0.0
219,3.666667,0.20567018,19165.131,0.0
220,3.683333,0.2178558,18994.685,0.0
221,3.7,0.23798516,18997.587,0.0
222,3.716667,0.26381901,19035.549,0.0
223,3.733333,0.29253986,18113.136,0.0
224,3.75,0.32419655,16201.665,0.0
225,3.766667,0.35239726,16922.629,0.0
226,3.783333,0.37574437,16627.07,0.0
227,3.8,0.39731863,15219.318,0.0
228,3.816667,0.41069466,15609.454,0.0
229,3.833333,0.41736731,15626.73,0.0
230,3.85,0.41964456,12673.653,0.0
231,3.866667,0.41863251,13631.138,0.0
232,3.883333,0.41573513,13206.219,0.0
233,3.9,0.40546507,10216.252,0.0
234,3.916667,0.39522809,14651.139,0.0
235,3.933333,0.38750955,7196.339,0.0
236,3.95,0.37065431,14023.202,0.0
237,3.966667,0.3576571,14393.166,0.0
238,3.983333,0.34791365,13240.953,0.0
239,4.0,0.34027514,12653.359,0.0
240,4.016667,0.33151492,14626.721,114291.523438
241,4.033333,0.32601577,14927.213,0.0
242,4.05,0.32309273,13348.875,0.0
243,4.066667,0.319778,9883.985,0.0
244,4.083333,0.31966555,13693.887,0.0
245,4.1,0.31881887,14344.807,0.0
246,4.116667,0.31792873,14408.369,0.0
247,4.133333,0.31896403,13797.076,0.0
248,4.15,0.3203305,12911.913,0.0
249,4.166667,0.31987187,13737.28,0.0
250,4.183333,0.31915295,9901.364,0.0
251,4.2,0.31875536,11203.096,0.0
252,4.216667,0.31711179,12548.087,0.0
253,4.233333,0.31415603,13249.713,0.0
254,4.25,0.31060869,12678.853,0.0
255,4.266667,0.30847239,10777.293,0.0
256,4.283333,0.30561364,11121.098,0.0
257,4.3,0.30192733,13069.573,0.0
258,4.316667,0.29907283,13050.703,0.0
259,4.333333,0.2965135,12805.369,0.0
260,4.35,0.29196444,11635.965,0.0
261,4.366667,0.28522468,13883.072,0.0
262,4.383333,0.27949181,10533.695,0.0
263,4.4,0.27230793,13491.043,0.0
264,4.416667,0.26444325,12866.896,0.0
265,4.433333,0.25795743,13118.129,0.0
266,4.45,0.24887666,13368.928,0.0
267,4.466667,0.24028499,13269.371,0.0
268,4.483333,0.23101969,13839.432,0.0
269,4.5,0.22296685,13876.637,0.0
270,4.516667,0.21358965,13438.381,107909.0
271,4.533333,0.20660514,14674.521,0.0
272,4.55,0.19870846,13348.478,0.0
273,4.566667,0.19315758,13483.14,0.0
274,4.583333,0.18785821,13739.097,0.0
275,4.6,0.18421277,11318.327,0.0
276,4.616667,0.18153311,14215.279,0.0
277,4.633333,0.18090349,14494.56,0.0
278,4.65,0.1800676,14614.81,0.0
279,4.666667,0.18260555,14866.72,0.0
280,4.683333,0.18540618,14109.019,0.0
281,4.7,0.19067115,13089.565,0.0
282,4.716667,0.19426665,15064.597,0.0
