frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.80742717,3779.714,22189.013672
1,0.033333,3.17474818,52.618,0.0
2,0.05,7.0706706,54.423,0.0
3,0.066667,12.42160511,55.044,0.0
4,0.083333,19.05379677,55.685,0.0
5,0.1,26.74083138,96.359,0.0
6,0.116667,32.9867363,58.606,0.0
7,0.133333,34.16289902,60.625,0.0
8,0.15,34.63638687,60.928,0.0
9,0.166667,34.82146835,61.316,0.0
10,0.183333,34.86706924,61.113,0.0
11,0.2,34.85312271,60.202,0.0
12,0.216667,34.78618622,59.13,0.0
13,0.233333,34.71110153,60.123,0.0
14,0.25,34.64725113,59.332,0.0
15,0.266667,34.59094238,57.807,0.0
16,0.283333,34.5538826,56.58,0.0
17,0.3,34.52940369,57.947,0.0
18,0.316667,34.70075607,54.07,0.0
19,0.333333,34.54491425,63.664,0.0
20,0.35,34.50289917,49.834,0.0
21,0.366667,34.19511414,49.693,0.0
22,0.383333,33.6559639,51.679,0.0
23,0.4,33.05793381,52.616,0.0
24,0.416667,33.01586151,52.132,0.0
25,0.433333,32.89577103,54.22,0.0
26,0.45,32.75097656,54.072,0.0
27,0.466667,32.57635117,53.104,0.0
28,0.483333,32.2688446,55.895,0.0
29,0.5,32.04992676,53.182,0.0
30,0.516667,31.86082649,51.711,453119.0625
31,0.533333,31.56439018,54.638,0.0
32,0.55,31.35058403,55.435,0.0
33,0.566667,31.05105209,54.655,0.0
34,0.583333,30.73249626,55.489,0.0
35,0.6,30.24403381,56.022,0.0
36,0.616667,29.846241,53.26,0.0
37,0.633333,29.47656441,51.851,0.0
38,0.65,29.1324501,48.253,0.0
39,0.666667,28.58545494,45.908,0.0
40,0.683333,27.69399643,47.103,0.0
41,0.7,26.49003029,46.094,0.0
42,0.716667,25.08267975,45.764,0.0
43,0.733333,23.6231575,46.104,0.0
44,0.75,22.31512451,46.365,0.0
45,0.766667,21.16832352,45.189,0.0
46,0.783333,19.97739792,47.411,0.0
47,0.8,18.82390976,50.67,0.0
48,0.816667,17.61312866,50.797,0.0
49,0.833333,16.33453178,49.897,0.0
50,0.85,14.92318726,50.837,0.0
51,0.866667,13.43628407,50.34,0.0
52,0.883333,11.92922211,49.32,0.0
53,0.9,10.39176846,48.892,0.0
54,0.916667,8.92193222,50.546,0.0
55,0.933333,7.52167749,52.291,0.0
56,0.95,6.2871666,54.289,0.0
57,0.966667,5.18673563,52.02,0.0
58,0.983333,4.28612804,52.408,0.0
59,1.0,3.61195016,51.802,0.0
60,1.016667,3.17408204,52.767,361800.9375
61,1.033333,2.95805669,53.043,0.0
62,1.05,2.97464776,51.847,0.0
63,1.066667,3.22897339,50.023,0.0
64,1.083333,3.64218807,49.895,0.0
65,1.1,4.12424088,54.186,0.0
66,1.116667,4.54474401,50.215,0.0
67,1.133333,4.84030962,49.858,0.0
68,1.15,5.23244238,53.917,0.0
69,1.166667,5.63818693,55.456,0.0
70,1.183333,6.02202511,51.059,0.0
71,1.2,6.42089224,51.291,0.0
72,1.216667,6.7951088,51.259,0.0
73,1.233333,7.13624191,51.597,0.0
74,1.25,7.46570492,51.962,0.0
75,1.266667,7.74518251,51.8,0.0
76,1.283333,7.98269606,51.188,0.0
77,1.3,8.22929192,56.71,0.0
78,1.316667,8.44788742,51.03,0.0
79,1.333333,8.68816566,50.732,0.0
80,1.35,8.92449856,47.418,0.0
81,1.366667,9.20450878,46.782,0.0
82,1.383333,9.52010059,45.456,0.0
83,1.4,9.86597443,46.323,0.0
84,1.416667,10.26537323,46.358,0.0
85,1.433333,10.70275211,45.533,0.0
86,1.45,11.17414188,44.498,0.0
87,1.466667,11.68664455,44.833,0.0
88,1.483333,12.21285152,44.458,0.0
89,1.5,12.74211311,43.823,0.0
90,1.516667,13.21491528,43.01,312789.09375
91,1.533333,13.56432152,42.171,0.0
92,1.55,13.74535847,42.4,0.0
93,1.566667,13.58160496,41.642,0.0
94,1.583333,11.87068939,42.091,0.0
95,1.6,10.03313541,40.994,0.0
96,1.616667,8.8272953,43.416,0.0
97,1.633333,7.95527172,43.463,0.0
98,1.65,7.17696524,42.993,0.0
99,1.666667,6.24047041,42.168,0.0
100,1.683333,5.28947496,42.52,0.0
101,1.7,4.42595625,42.452,0.0
102,1.716667,3.66480017,42.625,0.0
103,1.733333,3.03126431,42.981,0.0
104,1.75,2.53349376,42.849,0.0
105,1.766667,2.17318678,43.813,0.0
106,1.783333,1.95966101,42.842,0.0
107,1.8,1.88792622,43.423,0.0
108,1.816667,1.93015826,43.182,0.0
109,1.833333,2.05567884,43.441,0.0
110,1.85,2.22639298,44.554,0.0
111,1.866667,2.39294314,44.732,0.0
112,1.883333,2.53614426,44.638,0.0
113,1.9,2.64584136,45.125,0.0
114,1.916667,2.7247467,43.87,0.0
115,1.933333,2.76037979,47.006,0.0
116,1.95,2.7911551,43.842,0.0
117,1.966667,2.80626392,43.27,0.0
118,1.983333,2.82010269,43.121,0.0
119,2.0,2.82452536,45.425,0.0
120,2.016667,2.84179401,46.051,148655.71875
121,2.033333,2.86041427,45.391,0.0
122,2.05,2.88158512,45.005,0.0
123,2.066667,2.86950517,44.398,0.0
124,2.083333,2.90187955,43.27,0.0
125,2.1,2.87509155,41.028,0.0
126,2.116667,2.89954615,39.288,0.0
127,2.133333,2.95217299,39.267,0.0
128,2.15,3.04242587,39.716,0.0
129,2.166667,3.11512256,40.003,0.0
130,2.183333,3.16937757,40.474,0.0
131,2.2,3.198421,40.229,0.0
132,2.216667,3.22550774,40.254,0.0
133,2.233333,3.2479732,39.984,0.0
134,2.25,3.23298025,39.703,0.0
135,2.266667,3.21403003,40.299,0.0
136,2.283333,3.19132543,39.713,0.0
137,2.3,3.15513563,39.275,0.0
138,2.316667,3.11892295,39.419,0.0
139,2.333333,3.09318972,38.117,0.0
140,2.35,3.0575633,38.853,0.0
141,2.366667,3.02913547,37.465,0.0
142,2.383333,3.00528789,37.411,0.0
143,2.4,2.97411156,37.774,0.0
144,2.416667,2.96690941,39.185,0.0
145,2.433333,2.9879632,39.944,0.0
146,2.45,3.02738333,39.641,0.0
147,2.466667,3.04256248,40.015,0.0
148,2.483333,3.04735112,40.602,0.0
149,2.5,3.02169299,40.301,0.0
150,2.516667,2.82216668,40.648,175662.15625
151,2.533333,2.27017808,39.402,0.0
152,2.55,1.88132846,39.155,0.0
153,2.566667,1.55524075,50.257,0.0
154,2.583333,1.27190292,37.428,0.0
155,2.6,1.02505732,38.312,0.0
156,2.616667,0.82010829,37.667,0.0
157,2.633333,0.65769315,38.104,0.0
158,2.65,0.539415,38.401,0.0
159,2.666667,0.46389383,39.167,0.0
160,2.683333,0.42971796,40.014,0.0
161,2.7,0.43359229,40.651,0.0
162,2.716667,0.46601725,41.783,0.0
163,2.733333,0.51944524,42.391,0.0
164,2.75,0.58035171,42.635,0.0
165,2.766667,0.6332978,42.936,0.0
166,2.783333,0.67325771,43.105,0.0
167,2.8,0.68960464,42.564,0.0
168,2.816667,0.69018191,42.498,0.0
169,2.833333,0.67193115,42.249,0.0
170,2.85,0.64484853,42.468,0.0
171,2.866667,0.6018703,41.909,0.0
172,2.883333,0.55886006,41.391,0.0
173,2.9,0.52000123,41.222,0.0
174,2.916667,0.48693544,40.808,0.0
175,2.933333,0.45961523,41.011,0.0
176,2.95,0.4413653,40.586,0.0
177,2.966667,0.43501553,39.752,0.0
178,2.983333,0.44191745,39.346,0.0
179,3.0,0.45831364,39.09,0.0
180,3.016667,0.47871292,38.919,100207.757812
181,3.033333,0.49906176,38.038,0.0
182,3.05,0.52083921,37.665,0.0
183,3.066667,0.54910409,37.301,0.0
184,3.083333,0.57774246,37.655,0.0
185,3.1,0.60676563,39.041,0.0
186,3.116667,0.63872284,39.206,0.0
187,3.133333,0.6723116,38.997,0.0
188,3.15,0.70945317,38.931,0.0
189,3.166667,0.74929243,38.887,0.0
190,3.183333,0.78703463,38.23,0.0
191,3.2,0.82626164,37.145,0.0
192,3.216667,0.86416245,36.628,0.0
193,3.233333,0.90407002,36.529,0.0
194,3.25,0.941535,36.255,0.0
195,3.266667,0.97358787,35.848,0.0
196,3.283333,0.99913031,34.715,0.0
197,3.3,1.02162087,34.873,0.0
198,3.316667,1.03729069,33.449,0.0
199,3.333333,1.04388607,33.45,0.0
200,3.35,1.04734349,33.926,0.0
201,3.366667,1.04643595,33.8,0.0
202,3.383333,1.0378015,35.569,0.0
203,3.4,1.0203284,36.851,0.0
204,3.416667,0.98971337,37.417,0.0
205,3.433333,0.95567483,38.257,0.0
206,3.45,0.90785992,38.107,0.0
207,3.466667,0.84700984,38.118,0.0
208,3.483333,0.77895927,38.265,0.0
209,3.5,0.7048682,38.134,0.0
210,3.516667,0.62182188,38.603,81729.726562
211,3.533333,0.53366703,39.268,0.0
212,3.55,0.44967476,39.585,0.0
