frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.0432,74.367,0.019591
1,0.033333,0.08640001,5.537,0.0
2,0.05,0.1296,6.079,0.0
3,0.066667,0.17280002,6.613,0.0
4,0.083333,0.21600004,6.353,0.0
5,0.1,0.25920004,6.693,0.0
6,0.116667,0.30240002,7.341,0.0
7,0.133333,0.34560004,20.448,0.0
8,0.15,0.38880005,7.024,0.0
9,0.166667,0.43200007,6.874,0.0
10,0.183333,0.47520009,6.878,0.0
11,0.2,0.51840007,7.522,0.0
12,0.216667,0.56160009,6.975,0.0
13,0.233333,0.60480011,7.092,0.0
14,0.25,0.64800006,6.567,0.0
15,0.266667,0.69120008,7.88,0.0
16,0.283333,0.73440009,7.265,0.0
17,0.3,0.77760011,7.33,0.0
18,0.316667,0.82080013,6.777,0.0
19,0.333333,0.86400014,7.066,0.0
20,0.35,0.90720004,7.88,0.0
21,0.366667,0.95040005,6.75,0.0
22,0.383333,0.99360007,6.507,0.0
23,0.4,1.03680015,6.937,0.0
24,0.416667,1.08000004,7.232,0.0
25,0.433333,1.12320006,7.158,0.0
26,0.45,1.16640007,7.523,0.0
27,0.466667,1.20960009,7.094,0.0
28,0.483333,1.25279999,6.862,0.0
29,0.5,1.29600012,6.984,0.0
30,0.516667,1.32989633,7.668,20144.650391
31,0.533333,1.35088563,13.766,0.0
32,0.55,1.37926579,14.063,0.0
33,0.566667,1.40511525,14.762,0.0
34,0.583333,1.43227518,14.943,0.0
35,0.6,1.46072924,15.127,0.0
36,0.616667,1.48733282,15.129,0.0
37,0.633333,1.51412725,15.158,0.0
38,0.65,1.54294336,14.989,0.0
39,0.666667,1.57763481,15.301,0.0
40,0.683333,1.61294484,14.922,0.0
41,0.7,1.65101564,15.368,0.0
42,0.716667,1.69005787,15.321,0.0
43,0.733333,1.72958541,15.269,0.0
44,0.75,1.76942861,15.248,0.0
45,0.766667,1.8100636,15.457,0.0
46,0.783333,1.8481487,14.985,0.0
47,0.8,1.88897061,15.245,0.0
48,0.816667,1.93015969,14.939,0.0
49,0.833333,1.97151256,15.332,0.0
50,0.85,2.01256704,15.493,0.0
51,0.866667,2.05351257,15.137,0.0
52,0.883333,2.09466338,15.123,0.0
53,0.9,2.13677073,15.349,0.0
54,0.916667,2.1784122,15.501,0.0
55,0.933333,2.22039127,15.468,0.0
56,0.95,2.2624886,15.469,0.0
57,0.966667,2.29079866,14.174,0.0
58,0.983333,2.30065703,13.368,0.0
59,1.0,2.30941439,13.914,0.0
60,1.016667,2.31793118,13.934,131058.414062
61,1.033333,2.32674718,13.991,0.0
62,1.05,2.33490467,14.373,0.0
63,1.066667,2.34226131,13.97,0.0
64,1.083333,2.34875393,14.321,0.0
65,1.1,2.35573244,14.546,0.0
66,1.116667,2.36297274,14.189,0.0
67,1.133333,2.36950755,14.366,0.0
68,1.15,2.37409091,14.299,0.0
69,1.166667,2.37986445,14.268,0.0
70,1.183333,2.38622046,14.211,0.0
71,1.2,2.39279175,14.342,0.0
72,1.216667,2.39806914,14.52,0.0
73,1.233333,2.40394735,14.164,0.0
74,1.25,2.40898061,14.239,0.0
75,1.266667,2.41348076,14.517,0.0
76,1.283333,2.41669369,14.296,0.0
77,1.3,2.42226148,14.487,0.0
78,1.316667,2.42916942,14.776,0.0
79,1.333333,2.43300462,14.715,0.0
80,1.35,2.4384656,14.817,0.0
81,1.366667,2.44295645,14.567,0.0
82,1.383333,2.44694638,14.602,0.0
83,1.4,2.4515903,15.243,0.0
84,1.416667,2.45585155,14.602,0.0
85,1.433333,2.45897269,14.842,0.0
86,1.45,2.46390319,15.004,0.0
87,1.466667,2.46687484,14.686,0.0
88,1.483333,2.47012591,15.001,0.0
89,1.5,2.47310305,14.785,0.0
90,1.516667,2.47600603,14.906,128755.171875
91,1.533333,2.47932267,14.865,0.0
92,1.55,2.48161626,15.297,0.0
93,1.566667,2.48469353,14.755,0.0
94,1.583333,2.4870522,14.731,0.0
95,1.6,2.48796487,15.026,0.0
96,1.616667,2.49020863,14.883,0.0
97,1.633333,2.49364901,15.174,0.0
98,1.65,2.49496841,14.86,0.0
99,1.666667,2.49847388,15.27,0.0
100,1.683333,2.49950314,15.113,0.0
101,1.7,2.50002146,15.092,0.0
102,1.716667,2.50074244,14.917,0.0
103,1.733333,2.50162148,14.693,0.0
104,1.75,2.50374007,15.256,0.0
105,1.766667,2.50575304,15.257,0.0
106,1.783333,2.50655866,15.177,0.0
107,1.8,2.5061512,14.775,0.0
108,1.816667,2.50912023,15.053,0.0
109,1.833333,2.51016831,15.248,0.0
110,1.85,2.50983262,15.449,0.0
111,1.866667,2.51128793,15.215,0.0
112,1.883333,2.51270199,15.019,0.0
113,1.9,2.51352406,15.083,0.0
114,1.916667,2.51461339,15.379,0.0
115,1.933333,2.51410604,15.5,0.0
116,1.95,2.51315928,15.06,0.0
117,1.966667,2.51287723,15.395,0.0
118,1.983333,2.51178408,15.015,0.0
119,2.0,2.5137074,15.351,0.0
120,2.016667,2.51406527,15.269,130168.726562
121,2.033333,2.51555228,15.276,0.0
122,2.05,2.51657248,15.007,0.0
123,2.066667,2.51738453,15.094,0.0
124,2.083333,2.51852107,15.36,0.0
125,2.1,2.51993489,15.302,0.0
126,2.116667,2.52279186,15.271,0.0
127,2.133333,2.52475142,15.232,0.0
128,2.15,2.52379274,15.316,0.0
129,2.166667,2.52351999,15.445,0.0
130,2.183333,2.52451873,15.697,0.0
131,2.2,2.52535462,15.316,0.0
132,2.216667,2.52549195,15.535,0.0
133,2.233333,2.52525926,15.395,0.0
134,2.25,2.52517247,15.273,0.0
135,2.266667,2.52611732,15.696,0.0
136,2.283333,2.52692246,15.299,0.0
137,2.3,2.52910972,15.368,0.0
138,2.316667,2.52955675,15.346,0.0
139,2.333333,2.53164744,15.62,0.0
140,2.35,2.53194404,15.809,0.0
141,2.366667,2.53399801,15.612,0.0
142,2.383333,2.53492785,15.374,0.0
143,2.4,2.53579164,15.544,0.0
144,2.416667,2.53620601,15.641,0.0
145,2.433333,2.53593636,15.436,0.0
146,2.45,2.53712726,15.2,0.0
147,2.466667,2.53910637,15.703,0.0
148,2.483333,2.54097509,15.521,0.0
149,2.5,2.542804,15.287,0.0
150,2.516667,2.54413271,15.669,130337.226562
151,2.533333,2.54375648,15.405,0.0
152,2.55,2.5450778,15.514,0.0
153,2.566667,2.54785419,15.797,0.0
154,2.583333,2.54740119,15.611,0.0
155,2.6,2.54721069,15.805,0.0
156,2.616667,2.5489254,15.899,0.0
157,2.633333,2.54966235,15.612,0.0
158,2.65,2.54995751,15.803,0.0
159,2.666667,2.55015039,15.995,0.0
160,2.683333,2.55124712,16.004,0.0
161,2.7,2.55262661,15.426,0.0
162,2.716667,2.55277491,15.316,0.0
163,2.733333,2.55458856,15.938,0.0
164,2.75,2.55739689,15.589,0.0
165,2.766667,2.55827856,16.094,0.0
166,2.783333,2.55751681,16.141,0.0
167,2.8,2.55787635,15.655,0.0
168,2.816667,2.55892229,15.565,0.0
169,2.833333,2.55913472,15.822,0.0
170,2.85,2.55981302,15.937,0.0
171,2.866667,2.56184363,15.714,0.0
172,2.883333,2.56259561,15.76,0.0
173,2.9,2.56202722,15.722,0.0
174,2.916667,2.55996299,15.685,0.0
175,2.933333,2.5604887,15.93,0.0
176,2.95,2.55974078,16.014,0.0
177,2.966667,2.55697513,15.894,0.0
178,2.983333,2.55744386,15.817,0.0
179,3.0,2.55620503,15.565,0.0
180,3.016667,2.55568075,16.323,133383.71875
181,3.033333,2.55397487,15.565,0.0
182,3.05,2.55222011,16.167,0.0
183,3.066667,2.55021048,15.995,0.0
184,3.083333,2.54921818,16.002,0.0
185,3.1,2.54791665,16.274,0.0
186,3.116667,2.55016351,16.287,0.0
187,3.133333,2.5517199,16.325,0.0
188,3.15,2.55251217,15.995,0.0
189,3.166667,2.55737066,16.143,0.0
190,3.183333,2.56269717,16.269,0.0
191,3.2,2.5714705,16.173,0.0
192,3.216667,2.57317019,16.044,0.0
193,3.233333,2.57621503,16.29,0.0
194,3.25,2.5813899,16.397,0.0
195,3.266667,2.58481336,16.617,0.0
196,3.283333,2.58754706,16.112,0.0
197,3.3,2.58997226,16.38,0.0
198,3.316667,2.59224868,16.318,0.0
199,3.333333,2.59270096,16.445,0.0
200,3.35,2.59243369,16.12,0.0
201,3.366667,2.59302688,16.473,0.0
202,3.383333,2.59270597,15.954,0.0
203,3.4,2.59288692,16.226,0.0
204,3.416667,2.59297061,16.392,0.0
205,3.433333,2.59429717,16.572,0.0
206,3.45,2.59243274,15.999,0.0
207,3.466667,2.59186506,16.593,0.0
208,3.483333,2.59163427,16.223,0.0
209,3.5,2.59172821,16.475,0.0
210,3.516667,2.5907743,16.914,139293.0
211,3.533333,2.59161425,16.039,0.0
212,3.55,2.59231615,16.328,0.0
213,3.566667,2.5920856,16.112,0.0
214,3.583333,2.59418178,16.309,0.0
215,3.6,2.59538603,16.518,0.0
216,3.616667,2.59685898,16.318,0.0
217,3.633333,2.59665561,16.003,0.0
218,3.65,2.59736943,15.856,0.0
219,3.666667,2.59817171,16.438,0.0
220,3.683333,2.59876204,16.831,0.0
221,3.7,2.59891868,16.143,0.0
222,3.716667,2.59851336,16.038,0.0
223,3.733333,2.59773684,16.421,0.0
224,3.75,2.59784031,16.804,0.0
225,3.766667,2.59873438,16.804,0.0
226,3.783333,2.59980583,16.645,0.0
227,3.8,2.60163164,16.589,0.0
228,3.816667,2.60393429,16.298,0.0
229,3.833333,2.60482597,16.608,0.0
230,3.85,2.60637355,17.04,0.0
231,3.866667,2.6073761,16.464,0.0
232,3.883333,2.60838079,16.799,0.0
233,3.9,2.60776377,16.329,0.0
234,3.916667,2.60586047,16.237,0.0
235,3.933333,2.60867214,16.484,0.0
236,3.95,2.61064529,16.797,0.0
237,3.966667,2.61111212,16.52,0.0
238,3.983333,2.61168575,16.67,0.0
239,4.0,2.61183548,16.58,0.0
240,4.016667,2.61163068,16.892,133796.671875
241,4.033333,2.61325264,16.881,0.0
242,4.05,2.61380076,16.736,0.0
243,4.066667,2.61484623,16.902,0.0
244,4.083333,2.61447382,16.401,0.0
245,4.1,2.61428571,16.885,0.0
246,4.116667,2.61558008,16.673,0.0
247,4.133333,2.61640453,16.903,0.0
248,4.15,2.61605191,16.627,0.0
249,4.166667,2.61872911,16.68,0.0
250,4.183333,2.61987925,16.613,0.0
251,4.2,2.61939526,16.801,0.0
252,4.216667,2.61850166,16.376,0.0
253,4.233333,2.62080789,16.944,0.0
254,4.25,2.62052393,16.652,0.0
255,4.266667,2.62012291,16.955,0.0
256,4.283333,2.6191678,16.635,0.0
257,4.3,2.62034988,16.631,0.0
258,4.316667,2.62270832,16.823,0.0
259,4.333333,2.62089324,16.662,0.0
260,4.35,2.61954498,17.071,0.0
261,4.366667,2.61997676,16.739,0.0
262,4.383333,2.62010932,16.492,0.0
263,4.4,2.61955523,16.762,0.0
264,4.416667,2.62110972,17.014,0.0
265,4.433333,2.62269068,17.08,0.0
266,4.45,2.62376618,16.5,0.0
267,4.466667,2.62197423,16.086,0.0
268,4.483333,2.62214613,16.865,0.0
269,4.5,2.62185812,16.588,0.0
270,4.516667,2.62164211,17.053,132135.25
271,4.533333,2.62334251,16.786,0.0
272,4.55,2.62433934,16.474,0.0
